txnDate,amount,merchant,paymentType,transactionDirection,categoryName,notes
2025-01-01,446.47,Reliance Mart,Wallet,DEBIT,Groceries,Groceries payment via UPI
2025-01-02,3443.96,IRCTC,Card,DEBIT,Travel,Travel payment via UPI
2025-01-03,271.78,Uber,Card,DEBIT,Transport,Transport payment via Card
2025-01-04,1980.86,Swiggy,Wallet,DEBIT,Food,Food payment via NetBanking
2025-01-05,3652.88,DMart,NetBanking,DEBIT,Groceries,Groceries payment via Card
2025-01-06,3379.2,Flipkart,Card,DEBIT,Shopping,Shopping payment via Card
2025-01-07,1508.52,Reliance Mart,NetBanking,DEBIT,Groceries,Groceries payment via Card
2025-01-08,1311.07,Zomato,Card,DEBIT,Food,Food payment via NetBanking
2025-01-09,2409.8,Zomato,UPI,DEBIT,Food,Food payment via NetBanking
2025-01-10,341.16,Amazon,NetBanking,DEBIT,Shopping,Shopping payment via Card
2025-01-11,21236,Landlord,UPI,DEBIT,Rent,Rent payment via Wallet
2025-01-12,2074.67,Amazon,Wallet,DEBIT,Shopping,Shopping payment via NetBanking
2025-01-13,2391.59,Electricity Board,Card,DEBIT,Utilities,Utilities payment via NetBanking
2025-01-14,2003.6,Swiggy,Wallet,DEBIT,Food,Food payment via UPI
2025-01-15,4749.29,IRCTC,NetBanking,DEBIT,Travel,Travel payment via Wallet
2025-01-16,2375.26,Flipkart,Card,DEBIT,Shopping,Shopping payment via Wallet
2025-01-17,50128,Employer Inc,Card,CREDIT,Salary,Salary payment via Card
2025-01-18,4011.66,Reliance Mart,NetBanking,DEBIT,Groceries,Groceries payment via Card
2025-01-19,3524.57,BigBasket,Wallet,DEBIT,Groceries,Groceries payment via Wallet
2025-01-20,2231.89,Reliance Mart,NetBanking,DEBIT,Groceries,Groceries payment via Card
2025-01-21,2780.13,Amazon,NetBanking,DEBIT,Shopping,Shopping payment via UPI
2025-01-22,747.91,Flipkart,UPI,DEBIT,Shopping,Shopping payment via NetBanking
2025-01-23,2967.87,Swiggy,UPI,DEBIT,Food,Food payment via Wallet
2025-01-24,2415.77,IRCTC,Wallet,DEBIT,Travel,Travel payment via UPI
2025-01-25,3003.91,Zomato,Card,DEBIT,Food,Food payment via Card
2025-01-26,588.15,IRCTC,NetBanking,DEBIT,Travel,Travel payment via NetBanking
2025-01-27,3970.99,Zomato,Wallet,DEBIT,Food,Food payment via Card
2025-01-28,1458.06,Netflix,UPI,DEBIT,Entertainment,Entertainment payment via NetBanking
2025-01-29,1492.11,Amazon,Card,DEBIT,Shopping,Shopping payment via Card
2025-01-30,2988.75,Zomato,Wallet,DEBIT,Food,Food payment via Wallet
2025-01-31,13648,Landlord,Wallet,DEBIT,Rent,Rent payment via Card
2025-02-01,2020.68,Reliance Mart,NetBanking,DEBIT,Groceries,Groceries payment via NetBanking
2025-02-02,12110,Landlord,UPI,DEBIT,Rent,Rent payment via UPI
2025-02-03,2273.92,Zomato,UPI,DEBIT,Food,Food payment via Card
2025-02-04,4703.82,Zomato,NetBanking,DEBIT,Food,Food payment via NetBanking
2025-02-05,3125.84,Zomato,Card,DEBIT,Food,Food payment via UPI
2025-02-06,4672.86,DMart,Wallet,DEBIT,Groceries,Groceries payment via Wallet
2025-02-07,1638.38,Ola,Card,DEBIT,Transport,Transport payment via UPI
2025-02-08,21484,Landlord,Wallet,DEBIT,Rent,Rent payment via UPI
2025-02-09,24583,Landlord,UPI,DEBIT,Rent,Rent payment via UPI
2025-02-10,548.91,Netflix,NetBanking,DEBIT,Entertainment,Entertainment payment via UPI
2025-02-11,733.11,Electricity Board,Wallet,DEBIT,Utilities,Utilities payment via NetBanking
2025-02-12,1502.5,BigBasket,NetBanking,DEBIT,Groceries,Groceries payment via Wallet
2025-02-13,11847,Landlord,Wallet,DEBIT,Rent,Rent payment via UPI
2025-02-14,4663.7,Amazon,Wallet,DEBIT,Shopping,Shopping payment via Card
2025-02-15,3602.51,Flipkart,UPI,DEBIT,Shopping,Shopping payment via Wallet
2025-02-16,381.82,Uber,Card,DEBIT,Transport,Transport payment via Card
2025-02-17,4747.7,Amazon,UPI,DEBIT,Shopping,Shopping payment via Card
2025-02-18,481.89,BigBasket,UPI,DEBIT,Groceries,Groceries payment via Card
2025-02-19,2553.46,Electricity Board,Wallet,DEBIT,Utilities,Utilities payment via Wallet
2025-02-20,4848.89,Amazon,Wallet,DEBIT,Shopping,Shopping payment via UPI
2025-02-21,497.71,Zomato,UPI,DEBIT,Food,Food payment via Card
2025-02-22,4439.35,Netflix,NetBanking,DEBIT,Entertainment,Entertainment payment via UPI
2025-02-23,862.28,Ola,Wallet,DEBIT,Transport,Transport payment via Card
2025-02-24,4752.1,DMart,NetBanking,DEBIT,Groceries,Groceries payment via NetBanking
2025-02-25,865.26,BigBasket,Card,DEBIT,Groceries,Groceries payment via NetBanking
2025-02-26,4385.06,DMart,Wallet,DEBIT,Groceries,Groceries payment via Card
2025-02-27,1677.38,Zomato,Card,DEBIT,Food,Food payment via Wallet
2025-02-28,1320.17,Swiggy,UPI,DEBIT,Food,Food payment via NetBanking
2025-03-01,157.3,Zomato,NetBanking,DEBIT,Food,Food payment via NetBanking
